% Model,Masterthesis_Linus_PoissonsEqu.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 23 2024, 06:20"
% Dimension,1
% Nodes,301
% Expressions,1
% Description,Line graph
x-coordinate (m),Space Charge Density
0,0
3.333333333333333E-5,0
6.666666666666666E-5,0
9.999999999999999E-5,0
1.333333333333333E-4,0
1.6666666666666666E-4,0
1.9999999999999998E-4,0
2.3333333333333333E-4,0
2.666666666666667E-4,0
3.0E-4,0
3.3333333333333327E-4,0
3.666666666666666E-4,0
3.9999999999999996E-4,0
4.333333333333333E-4,0
4.6666666666666666E-4,0
5.0E-4,0
5.333333333333334E-4,0
5.666666666666667E-4,0
6.0E-4,0
6.333333333333333E-4,0
6.666666666666666E-4,0
6.999999999999999E-4,0
7.333333333333332E-4,0
7.666666666666666E-4,0
7.999999999999999E-4,0
8.333333333333333E-4,0
8.666666666666666E-4,0
8.999999999999999E-4,0
9.333333333333332E-4,0
9.666666666666665E-4,0
9.999999999999998E-4,0
0.0010333333333333332,0
0.0010666666666666665,0
0.0010999999999999998,0
0.001133333333333333,0
0.0011666666666666663,0
0.0011999999999999997,0
0.001233333333333333,0
0.0012666666666666664,0
0.0012999999999999995,0
0.0013333333333333329,0
0.0013666666666666662,0
0.0013999999999999996,0
0.001433333333333333,0
0.0014666666666666662,0
0.0014999999999999996,0
0.0015333333333333327,0
0.001566666666666666,0
0.0015999999999999994,0
0.0016333333333333328,0
0.0016666666666666663,0
0.0016999999999999995,0
0.0017333333333333328,0
0.0017666666666666662,0
0.0017999999999999995,0
0.0018333333333333326,0
0.0018666666666666662,0
0.0018999999999999993,0
0.0019333333333333325,0
0.001966666666666666,0
0.001999999999999999,0
0.0020333333333333327,0
0.002066666666666666,0
0.0020999999999999994,0
0.0021333333333333326,0
0.002166666666666666,0
0.0021999999999999993,0
0.002233333333333333,0
0.002266666666666666,0
0.002299999999999999,0
0.0023333333333333322,0
0.002366666666666666,0
0.002399999999999999,0
0.0024333333333333325,0
0.0024666666666666656,0
0.0024999999999999988,0
0.0025333333333333323,0
0.002566666666666666,0
0.002599999999999999,0
0.0026333333333333326,0
0.0026666666666666657,0
0.0026999999999999993,0
0.0027333333333333324,0
0.0027666666666666655,0
0.002799999999999999,0
0.0028333333333333327,0
0.002866666666666666,0
0.002899999999999999,0
0.002933333333333332,0
0.002966666666666666,0
0.002999999999999999,0
0.0030333333333333328,0
0.0030666666666666663,0
0.0030999999999999995,0
0.0031333333333333326,0
0.0031666666666666666,0
0.0031999999999999997,0
0.0032333333333333333,0
0.003266666666666667,0
0.0033,0
0.003333333333333333,0
0.0033666666666666662,0
0.0034,0
0.003433333333333333,0
0.0034666666666666665,0
0.0034999999999999996,0
0.003533333333333333,0
0.0035666666666666668,0
0.0036,0
0.0036333333333333335,0
0.003666666666666667,0
0.0037,0
0.0037333333333333333,0
0.0037666666666666664,0
0.0038,0
0.003833333333333333,0
0.0038666666666666667,0
0.0039,0
0.003933333333333334,0
0.003966666666666667,0
0.004,0
0.004033333333333333,0
0.004066666666666667,0
0.0041,0
0.004133333333333334,0
0.0041666666666666675,0
0.004200000000000001,0
0.004233333333333334,0
0.004266666666666668,0
0.0043,0
0.004333333333333334,0
0.004366666666666667,0
0.0044,0
0.004433333333333334,0
0.004466666666666667,0
0.0045000000000000005,0
0.004533333333333334,0
0.004566666666666667,0
0.004600000000000001,0
0.004633333333333334,0
0.004666666666666668,0
0.004700000000000001,0
0.004733333333333334,0
0.004766666666666667,0
0.004800000000000001,0
0.0048333333333333344,0
0.0048666666666666684,0
0.004900000000000002,0
0.004933333333333335,0
0.004966666666666668,0
0.005000000000000001,0
0.005033333333333334,0
0.005066666666666668,0
0.005100000000000001,0
0.005133333333333334,0
0.005166666666666668,0
0.0052000000000000015,0
0.005233333333333335,0
0.005266666666666669,0
0.005300000000000001,0
